k,model,precision_at_k_mean,precision_at_k_std,rank_first_mean,rank_first_std,frac_why_rich_mean,frac_why_rich_std,n_cases
1,biomedbert,0.47619047619047616,0.511766315719159,1.0,0.0,0.4,0.4982728791224399,21
1,minilm,0.19047619047619047,0.40237390808147827,1.0,0.0,0.16666666666666666,0.3790490217894517,21
2,biomedbert,0.40476190476190477,0.4364357804719847,1.0909090909090908,0.30151134457776363,0.3,0.4068381021724862,21
2,minilm,0.21428571428571427,0.253546276418555,1.5555555555555556,0.5270462766947299,0.21666666666666667,0.2520034664968654,21
3,biomedbert,0.3015873015873016,0.2769829899462722,1.3846153846153846,0.7679476477883046,0.2555555555555556,0.2724000513856255,21
3,minilm,0.17460317460317465,0.17058877190638633,1.8181818181818181,0.7507571935295484,0.2555555555555555,0.16800231099791027,21
4,biomedbert,0.2619047619047619,0.2011869540407391,1.7333333333333334,1.162919151265879,0.2833333333333333,0.19401978806534023,21
4,minilm,0.21428571428571427,0.18175729499999244,2.2857142857142856,1.1387288073563857,0.2833333333333333,0.17036134686526497,21
5,biomedbert,0.25714285714285723,0.18047556225547154,1.9375,1.3889444433333777,0.25333333333333335,0.1736689941821219,21
5,minilm,0.2285714285714286,0.1585649934344184,2.625,1.408308678285174,0.3,0.15536386656646636,21
6,biomedbert,0.2777777777777777,0.13263707095903693,2.5789473684210527,1.9809029779843166,0.23333333333333328,0.14907119849998599,21
6,minilm,0.23809523809523805,0.1351072472296296,3.0,1.7149858514250884,0.33333333333333326,0.13840913308956662,21
7,biomedbert,0.2857142857142857,0.11065666703449761,2.8,2.166734141999258,0.21904761904761902,0.13902917303475093,21
7,minilm,0.24489795918367344,0.12891111589676535,3.0,1.7149858514250884,0.33333333333333326,0.13175229639354685,21
8,biomedbert,0.2857142857142857,0.12588969094296118,2.8,2.166734141999258,0.2125,0.14365157800062262,21
8,minilm,0.2619047619047619,0.14199891012324878,3.263157894736842,2.02325659555628,0.3625,0.12435176745412796,21
9,biomedbert,0.2962962962962963,0.13302433330420718,3.0952380952380953,2.508082173788608,0.1925925925925926,0.13027571160068063,21
9,minilm,0.25396825396825395,0.14117171551974073,3.55,2.3502519461807316,0.36666666666666675,0.127690291556109,21
10,biomedbert,0.2904761904761905,0.11791845447071422,3.0952380952380953,2.508082173788608,0.19000000000000003,0.13222238320605803,21
10,minilm,0.2619047619047619,0.1465475706935822,3.55,2.3502519461807316,0.37333333333333335,0.12847469449832047,21
